"","c.0.80.","Tot_V","V_1","V_2","C_V1","C_V2"
"1",0,463,440,23,0.950323974082073,0.0496760259179266
"2",1,463,440,23,0.950323974082073,0.0496760259179266
"3",2,456,433,23,0.935205183585313,0.0496760259179266
"4",3,450,427,23,0.922246220302376,0.0496760259179266
"5",4,445,422,23,0.911447084233261,0.0496760259179266
"6",5,430,407,23,0.879049676025918,0.0496760259179266
"7",6,420,397,23,0.857451403887689,0.0496760259179266
"8",7,407,384,23,0.829373650107991,0.0496760259179266
"9",8,389,367,22,0.792656587473002,0.0475161987041037
"10",9,375,353,22,0.762419006479482,0.0475161987041037
"11",10,359,338,21,0.730021598272138,0.0453563714902808
"12",11,348,329,19,0.710583153347732,0.041036717062635
"13",12,339,322,17,0.695464362850972,0.0367170626349892
"14",13,335,318,17,0.68682505399568,0.0367170626349892
"15",14,321,304,17,0.65658747300216,0.0367170626349892
"16",15,318,301,17,0.650107991360691,0.0367170626349892
"17",16,303,288,15,0.622030237580994,0.0323974082073434
"18",17,284,271,13,0.585313174946004,0.0280777537796976
"19",18,281,268,13,0.578833693304536,0.0280777537796976
"20",19,276,263,13,0.568034557235421,0.0280777537796976
"21",20,264,253,11,0.546436285097192,0.0237580993520518
"22",21,261,250,11,0.539956803455723,0.0237580993520518
"23",22,248,239,9,0.516198704103672,0.019438444924406
"24",23,243,234,9,0.505399568034557,0.019438444924406
"25",24,237,229,8,0.494600431965443,0.0172786177105832
"26",25,237,229,8,0.494600431965443,0.0172786177105832
"27",26,235,227,8,0.490280777537797,0.0172786177105832
"28",27,217,209,8,0.451403887688985,0.0172786177105832
"29",28,184,177,7,0.382289416846652,0.0151187904967603
"30",29,180,173,7,0.373650107991361,0.0151187904967603
"31",30,176,169,7,0.365010799136069,0.0151187904967603
"32",31,176,169,7,0.365010799136069,0.0151187904967603
"33",32,175,168,7,0.362850971922246,0.0151187904967603
"34",33,174,167,7,0.360691144708423,0.0151187904967603
"35",34,169,162,7,0.349892008639309,0.0151187904967603
"36",35,164,157,7,0.339092872570194,0.0151187904967603
"37",36,157,151,6,0.326133909287257,0.0129589632829374
"38",37,150,145,5,0.31317494600432,0.0107991360691145
"39",38,147,142,5,0.306695464362851,0.0107991360691145
"40",39,147,142,5,0.306695464362851,0.0107991360691145
"41",40,147,142,5,0.306695464362851,0.0107991360691145
"42",41,141,136,5,0.293736501079914,0.0107991360691145
"43",42,135,131,4,0.282937365010799,0.00863930885529158
"44",43,121,120,1,0.259179265658747,0.00215982721382289
"45",44,114,113,1,0.244060475161987,0.00215982721382289
"46",45,111,110,1,0.237580993520518,0.00215982721382289
"47",46,111,110,1,0.237580993520518,0.00215982721382289
"48",47,100,99,1,0.213822894168467,0.00215982721382289
"49",48,100,99,1,0.213822894168467,0.00215982721382289
"50",49,95,94,1,0.203023758099352,0.00215982721382289
"51",50,87,86,1,0.185745140388769,0.00215982721382289
"52",51,87,86,1,0.185745140388769,0.00215982721382289
"53",52,84,83,1,0.1792656587473,0.00215982721382289
"54",53,79,78,1,0.168466522678186,0.00215982721382289
"55",54,71,70,1,0.151187904967603,0.00215982721382289
"56",55,62,61,1,0.131749460043197,0.00215982721382289
"57",56,55,54,1,0.116630669546436,0.00215982721382289
"58",57,54,53,1,0.114470842332613,0.00215982721382289
"59",58,50,50,0,0.107991360691145,0
"60",59,50,50,0,0.107991360691145,0
"61",60,48,48,0,0.103671706263499,0
"62",61,47,47,0,0.101511879049676,0
"63",62,46,46,0,0.0993520518358531,0
"64",63,45,45,0,0.0971922246220302,0
"65",64,40,40,0,0.0863930885529158,0
"66",65,39,39,0,0.0842332613390929,0
"67",66,39,39,0,0.0842332613390929,0
"68",67,39,39,0,0.0842332613390929,0
"69",68,37,37,0,0.0799136069114471,0
"70",69,37,37,0,0.0799136069114471,0
"71",70,36,36,0,0.0777537796976242,0
"72",71,36,36,0,0.0777537796976242,0
"73",72,30,30,0,0.0647948164146868,0
"74",73,29,29,0,0.0626349892008639,0
"75",74,29,29,0,0.0626349892008639,0
"76",75,29,29,0,0.0626349892008639,0
"77",76,29,29,0,0.0626349892008639,0
"78",77,28,28,0,0.060475161987041,0
"79",78,27,27,0,0.0583153347732181,0
"80",79,24,24,0,0.0518358531317495,0
"81",80,24,24,0,0.0518358531317495,0
